time:4.264017581939697, length:1.143291332189411, ratio:0.1794626865671642
time:4.902459621429443, length:1.5936312649347308, ratio:0.20029850746268657
time:3.6636762619018555, length:0.8791365374814236, ratio:0.1577910447761194
time:5.912494659423828, length:1.852288129777606, ratio:0.23032835820895523
time:5.692479133605957, length:1.6103981136463181, ratio:0.21002985074626865
time:10.698713064193726, length:3.584488625475514, ratio:0.3402985074626866
time:4.707403182983398, length:1.4416763516059983, ratio:0.184
time:6.120568037033081, length:2.024735102675126, ratio:0.20955223880597015
time:5.294367790222168, length:1.6003545860406323, ratio:0.19265671641791043
time:7.227259635925293, length:2.490722775287046, ratio:0.25611940298507463
time:6.393112421035767, length:2.052865898078634, ratio:0.23611940298507464
time:2.069661855697632, length:0.265652670068368, ratio:0.14035820895522388
time:12.022654294967651, length:1.39438079017969, ratio:0.1817313432835821
time:4.892221689224243, length:1.6063095435319568, ratio:0.2022089552238806
time:4.926558256149292, length:1.5719989566370576, ratio:0.20405970149253733
time:13.599784851074219, length:5.1817794265449475, ratio:0.3226268656716418
time:5.206037998199463, length:1.5860174206440913, ratio:0.19002985074626866
time:14.958057641983032, length:2.1921221664716404, ratio:0.23140298507462687
time:8.266902446746826, length:2.3987383731401652, ratio:0.262089552238806
time:4.711288690567017, length:1.5607882428712165, ratio:0.19301492537313433
time:6.2338197231292725, length:2.0447769924643024, ratio:0.23116417910447762
time:4.506357669830322, length:1.1333426765312236, ratio:0.1706865671641791
time:4.619369268417358, length:1.1490783234234194, ratio:0.17008955223880598
time:4.549580335617065, length:1.1593689338484021, ratio:0.1888955223880597
time:9.248568534851074, length:3.3477697737815313, ratio:0.2964776119402985
time:6.96777081489563, length:2.4787939956458516, ratio:0.23737313432835822
time:4.617762804031372, length:1.156590033073691, ratio:0.18507462686567164
time:5.211467027664185, length:1.615876313037846, ratio:0.21265671641791045
time:11.497948169708252, length:4.246472365855569, ratio:0.3758805970149254
time:7.515345335006714, length:1.9120884874131197, ratio:0.2503880597014925
time:2.513046979904175, length:0.26663438495770997, ratio:0.14328358208955225
time:7.961070537567139, length:2.852453717649838, ratio:0.26692537313432835
time:4.778291463851929, length:1.5968636260633784, ratio:0.1853731343283582
time:2.291948080062866, length:0.2721078382412921, ratio:0.13934328358208956
time:7.749972105026245, length:1.9522513291495673, ratio:0.21791044776119403
time:2.325343132019043, length:0.28161588232524754, ratio:0.12925373134328358
time:5.407691717147827, length:1.5982809451176307, ratio:0.20023880597014926
time:7.849856615066528, length:2.8744638794511563, ratio:0.26370149253731345
time:4.3185131549835205, length:1.1409708896953257, ratio:0.17038805970149254
time:5.601550817489624, length:1.594068034795529, ratio:0.1896716417910448
time:4.477198362350464, length:1.1747572307802816, ratio:0.1573134328358209
time:6.244056463241577, length:2.064488223048833, ratio:0.23092537313432837
time:4.254382371902466, length:1.1431118629514798, ratio:0.18029850746268658
time:8.296943664550781, length:1.594145332391957, ratio:0.20388059701492536
time:14.955365180969238, length:6.087401209665372, ratio:0.3435223880597015
time:11.630645513534546, length:3.5660122414115083, ratio:0.3034626865671642
time:8.996115446090698, length:1.6075916815658966, ratio:0.19635820895522388
time:5.483235836029053, length:1.5843625104958343, ratio:0.2018507462686567
time:9.258594512939453, length:3.423356340191595, ratio:0.3102089552238806
time:14.104579448699951, length:5.478037245635596, ratio:0.37576119402985075
time:5.232412099838257, length:1.59244990044985, ratio:0.20435820895522389
time:14.975142478942871, length:2.0979616885247108, ratio:0.21594029850746269
time:4.284833669662476, length:1.1252102924046028, ratio:0.1661492537313433
time:5.4144368171691895, length:1.5838222455968904, ratio:0.20423880597014926
time:17.114038228988647, length:2.855530454771914, ratio:0.2711044776119403
time:11.12859559059143, length:3.3675743203702377, ratio:0.31922388059701495
time:6.821453332901001, length:2.471762961945049, ratio:0.25713432835820893
time:2.0800108909606934, length:0.260136963512868, ratio:0.14334328358208956
